event_id,user_id,session_id,event_type,device_type,traffic_source,created_at
1,U001,S001,page_view,desktop,organic,2024-01-02 09:05:00
2,U001,S001,add_to_cart,desktop,organic,2024-01-02 09:07:00
3,U001,S001,checkout,desktop,organic,2024-01-02 09:09:00
4,U001,S001,purchase,desktop,organic,2024-01-02 09:11:00
5,U002,S002,page_view,mobile,paid_search,2024-01-02 10:00:00
6,U002,S002,add_to_cart,mobile,paid_search,2024-01-02 10:03:00
7,U002,S002,checkout,mobile,paid_search,2024-01-02 10:06:00
8,U003,S003,page_view,mobile,social,2024-01-02 11:00:00
9,U003,S003,add_to_cart,mobile,social,2024-01-02 11:02:00
10,U004,S004,page_view,desktop,email,2024-01-02 12:00:00
11,U004,S004,add_to_cart,desktop,email,2024-01-02 12:04:00
12,U004,S004,checkout,desktop,email,2024-01-02 12:06:00
13,U004,S004,purchase,desktop,email,2024-01-02 12:08:00
14,U005,S005,page_view,tablet,organic,2024-01-02 13:00:00
15,U005,S005,add_to_cart,tablet,organic,2024-01-02 13:03:00
16,U006,S006,page_view,desktop,paid_search,2024-01-03 08:00:00
17,U006,S006,add_to_cart,desktop,paid_search,2024-01-03 08:05:00
18,U006,S006,checkout,desktop,paid_search,2024-01-03 08:08:00
19,U006,S006,purchase,desktop,paid_search,2024-01-03 08:10:00
20,U007,S007,page_view,mobile,social,2024-01-03 09:00:00
21,U007,S007,add_to_cart,mobile,social,2024-01-03 09:04:00
22,U007,S007,checkout,mobile,social,2024-01-03 09:07:00
23,U008,S008,page_view,desktop,organic,2024-01-03 10:00:00
24,U008,S008,add_to_cart,desktop,organic,2024-01-03 10:06:00
25,U009,S009,page_view,mobile,email,2024-01-04 08:30:00
26,U009,S009,add_to_cart,mobile,email,2024-01-04 08:33:00
27,U009,S009,checkout,mobile,email,2024-01-04 08:36:00
28,U009,S009,purchase,mobile,email,2024-01-04 08:39:00
29,U010,S010,page_view,desktop,paid_search,2024-01-04 09:00:00
30,U010,S010,add_to_cart,desktop,paid_search,2024-01-04 09:05:00
31,U011,S011,page_view,mobile,organic,2024-01-04 10:00:00
32,U011,S011,add_to_cart,mobile,organic,2024-01-04 10:03:00
33,U011,S011,checkout,mobile,organic,2024-01-04 10:06:00
34,U011,S011,purchase,mobile,organic,2024-01-04 10:08:00
35,U012,S012,page_view,tablet,social,2024-01-05 11:00:00
36,U012,S012,add_to_cart,tablet,social,2024-01-05 11:04:00
37,U013,S013,page_view,desktop,organic,2024-01-05 12:00:00
38,U014,S014,page_view,mobile,paid_search,2024-01-05 13:00:00
39,U014,S014,add_to_cart,mobile,paid_search,2024-01-05 13:05:00
40,U014,S014,checkout,mobile,paid_search,2024-01-05 13:08:00
41,U015,S015,page_view,desktop,email,2024-01-06 08:00:00
42,U015,S015,add_to_cart,desktop,email,2024-01-06 08:04:00
43,U015,S015,checkout,desktop,email,2024-01-06 08:07:00
44,U015,S015,purchase,desktop,email,2024-01-06 08:10:00
45,U016,S016,page_view,mobile,organic,2024-01-06 09:00:00
46,U016,S016,add_to_cart,mobile,organic,2024-01-06 09:03:00
47,U017,S017,page_view,desktop,social,2024-01-06 10:00:00
48,U017,S017,add_to_cart,desktop,social,2024-01-06 10:06:00
49,U017,S017,checkout,desktop,social,2024-01-06 10:09:00
50,U017,S017,purchase,desktop,social,2024-01-06 10:12:00
